Custom toolchain, compiled with -O3

## Depth 2:

 Name (* = baseline)      |   Dim   |  Total ms |  ns/op  |Baseline| Ops/second
--------------------------|--------:|----------:|--------:|-------:|----------:
 noerror_d2 *             |       8 |     0.000 |       4 |      - |242424242.4
 result_d2                |       8 |     0.000 |       3 |  0.939 |258064516.1
 exception_d2             |       8 |     0.000 |      15 |  3.727 | 65040650.4
 noerror_d2 *             |      64 |     0.000 |       0 |      - |2064516129.0
 result_d2                |      64 |     0.000 |       0 |  1.065 |1939393939.4
 exception_d2             |      64 |     0.000 |       1 |  3.968 |520325203.3
 noerror_d2 *             |     512 |     0.000 |       0 |      - |16516129032.3
 result_d2                |     512 |     0.000 |       0 |  1.032 |16000000000.0
 exception_d2             |     512 |     0.000 |       0 |  4.000 |4129032258.1
 noerror_d2 *             |    4096 |     0.000 |       0 |      - |132129032258.1
 result_d2                |    4096 |     0.000 |       0 |  1.194 |110702702702.7
 exception_d2             |    4096 |     0.000 |       0 |  3.935 |33573770491.8
 noerror_d2 *             |    8192 |     0.000 |       0 |      - |256000000000.0
 result_d2                |    8192 |     0.000 |       0 |  1.094 |234057142857.1
 exception_d2             |    8192 |     0.000 |       0 |  3.844 |66601626016.3

## Depth 25:

 Name (* = baseline)      |   Dim   |  Total ms |  ns/op  |Baseline| Ops/second
--------------------------|--------:|----------:|--------:|-------:|----------:
 noerror_d25 *            |       8 |     0.000 |       4 |      - |242424242.4
 result_d25               |       8 |     0.000 |      13 |  3.333 | 72727272.7
 exception_d25            |       8 |     0.000 |      15 |  3.848 | 62992126.0
 noerror_d25 *            |      64 |     0.000 |       0 |      - |1828571428.6
 result_d25               |      64 |     0.000 |       1 |  3.200 |571428571.4
 exception_d25            |      64 |     0.000 |       1 |  3.629 |503937007.9
 noerror_d25 *            |     512 |     0.000 |       0 |      - |16000000000.0
 result_d25               |     512 |     0.000 |       0 |  3.500 |4571428571.4
 exception_d25            |     512 |     0.000 |       0 |  4.219 |3792592592.6
 noerror_d25 *            |    4096 |     0.000 |       0 |      - |113777777777.8
 result_d25               |    4096 |     0.000 |       0 |  3.167 |35929824561.4
 exception_d25            |    4096 |     0.000 |       0 |  3.417 |33300813008.1
 noerror_d25 *            |    8192 |     0.000 |       0 |      - |227555555555.6
 result_d25               |    8192 |     0.000 |       0 |  3.167 |71859649122.8
 exception_d25            |    8192 |     0.000 |       0 |  3.611 |63015384615.4

