|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | benchmark
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:----------
|                5.20 |      192,191,646.79 |    1.1% |           42.00 |           12.54 |  3.350 |           4.00 |    0.0% |      0.01 | `noerror d1 i1`
|                5.81 |      172,202,396.80 |    1.1% |           56.00 |           13.95 |  4.015 |           6.00 |    0.0% |      0.01 | `result d1 i1`
|            1,897.75 |          526,940.97 |    0.7% |       14,560.02 |        4,535.52 |  3.210 |       3,149.00 |    0.1% |      0.01 | `exception d1 i1`
|                6.15 |      162,471,981.68 |    1.3% |           50.00 |           14.64 |  3.416 |           6.00 |    0.0% |      0.01 | `noerror d2 i1`
|                6.43 |      155,437,821.30 |    1.5% |           66.00 |           15.51 |  4.257 |           9.00 |    0.0% |      0.01 | `result d2 i1`
|            2,173.34 |          460,120.42 |    0.3% |       16,709.03 |        5,228.88 |  3.196 |       3,618.00 |    0.1% |      0.01 | `exception d2 i1`
|               60.12 |       16,633,073.57 |    4.8% |          290.00 |          143.35 |  2.023 |          52.00 |    1.6% |      0.01 | `noerror d25 i1`
|              142.28 |        7,028,456.83 |    1.6% |          410.00 |          342.10 |  1.198 |          78.00 |   10.4% |      0.01 | `result d25 i1`
|            8,875.32 |          112,672.05 |    0.9% |       68,540.11 |       21,407.70 |  3.202 |      15,047.01 |    0.3% |      0.01 | `exception d25 i1`
|              374.13 |        2,672,888.35 |    0.3% |          572.00 |          901.56 |  0.634 |         102.00 |   25.6% |      0.01 | `noerror d50 i1`
|              478.99 |        2,087,713.61 |    0.8% |          820.00 |        1,144.65 |  0.716 |         153.00 |   21.7% |      0.01 | `result d50 i1`
|           16,343.96 |           61,184.67 |    0.6% |      124,999.21 |       39,313.97 |  3.180 |      27,486.02 |    0.4% |      0.01 | `exception d50 i1`
|            1,011.50 |          988,632.28 |    0.3% |        1,114.01 |        2,434.68 |  0.458 |         202.00 |   37.5% |      0.01 | `noerror d100 i1`
|            1,197.99 |          834,731.74 |    0.6% |        1,520.01 |        2,886.64 |  0.527 |         303.00 |   27.6% |      0.01 | `result d100 i1`
|           34,151.55 |           29,281.25 |    0.7% |      236,565.42 |       81,892.36 |  2.889 |      52,274.03 |    0.9% |      0.01 | `exception d100 i1`
|              263.78 |        3,791,084.57 |    1.4% |        2,253.00 |          635.95 |  3.543 |         250.00 |    0.4% |      0.01 | `noerror d1 i50`
|              295.05 |        3,389,303.29 |    1.4% |        2,855.00 |          710.35 |  4.019 |         350.00 |    0.3% |      0.01 | `result d1 i50`
|            2,158.55 |          463,273.01 |    0.5% |       17,007.03 |        5,197.21 |  3.272 |       3,470.00 |    0.1% |      0.01 | `exception d1 i50`
|              315.30 |        3,171,623.10 |    1.6% |        2,653.00 |          760.51 |  3.488 |         350.00 |    0.3% |      0.01 | `noerror d2 i50`
|              344.32 |        2,904,270.09 |    2.3% |        3,355.00 |          817.22 |  4.105 |         500.00 |    0.2% |      0.01 | `result d2 i50`
|            2,566.62 |          389,617.11 |    0.8% |       20,020.03 |        6,171.26 |  3.244 |       4,055.00 |    0.1% |      0.01 | `exception d2 i50`
|            2,713.00 |          368,595.01 |    3.5% |       14,653.03 |        6,546.80 |  2.238 |       2,650.00 |    0.8% |      0.01 | `noerror d25 i50`
|            4,668.00 |          214,224.71 |    3.6% |       20,555.06 |       11,229.19 |  1.831 |       3,950.00 |    4.6% |      0.01 | `result d25 i50`
|           11,794.66 |           84,784.11 |    0.2% |       84,615.15 |       28,427.82 |  2.976 |      17,744.01 |    0.5% |      0.01 | `exception d25 i50`
|           18,685.53 |           53,517.34 |    0.8% |       28,753.23 |       45,065.32 |  0.638 |       5,150.02 |   25.4% |      0.01 | `noerror d50 i50`
|           20,609.18 |           48,522.07 |    1.0% |       41,055.25 |       49,613.12 |  0.828 |       7,700.02 |   18.8% |      0.01 | `result d50 i50`
|           34,598.10 |           28,903.32 |    1.2% |      154,680.43 |       83,455.91 |  1.853 |      32,627.03 |    4.3% |      0.01 | `exception d50 i50`
|           50,416.80 |           19,834.66 |    0.3% |       55,853.62 |      121,359.91 |  0.460 |      10,150.05 |   37.5% |      0.01 | `noerror d100 i50`
|           52,965.50 |           18,880.21 |    1.1% |       76,055.65 |      126,211.91 |  0.603 |      15,200.05 |   25.9% |      0.01 | `result d100 i50`
|           83,573.46 |           11,965.52 |    0.4% |      290,395.00 |      201,163.50 |  1.444 |      62,327.08 |    6.8% |      0.01 | `exception d100 i50`
|            1,035.28 |          965,923.13 |    2.4% |        9,002.01 |        2,490.14 |  3.615 |       1,000.00 |    0.1% |      0.01 | `noerror d1 i200`
|            1,164.02 |          859,089.40 |    0.8% |       11,404.01 |        2,808.55 |  4.060 |       1,400.00 |    0.1% |      0.01 | `result d1 i200`
|            2,885.21 |          346,595.28 |    0.5% |       24,080.03 |        6,934.75 |  3.472 |       4,376.00 |    0.1% |      0.01 | `exception d1 i200`
|            1,229.38 |          813,415.61 |    0.8% |       10,602.01 |        2,964.01 |  3.577 |       1,400.00 |    0.1% |      0.01 | `noerror d2 i200`
|            1,380.79 |          724,220.48 |    2.6% |       13,404.01 |        3,328.80 |  4.027 |       2,000.00 |    0.1% |      0.01 | `result d2 i200`
|            3,542.75 |          282,266.60 |    0.4% |       29,501.04 |        8,543.72 |  3.453 |       5,261.00 |    0.1% |      0.01 | `exception d2 i200`
|           10,980.94 |           91,066.89 |    9.5% |       58,602.12 |       26,481.64 |  2.213 |      10,600.01 |    0.9% |      0.01 | :wavy_dash: `noerror d25 i200` (Unstable with ~94.0 iters. Increase `minEpochIterations` to e.g. 940)
|           18,871.69 |           52,989.43 |    3.9% |       82,204.19 |       45,517.50 |  1.806 |      15,800.02 |    4.5% |      0.01 | `result d25 i200`
|           21,233.50 |           47,095.39 |    2.2% |      133,104.22 |       51,205.88 |  2.599 |      25,850.02 |    0.8% |      0.01 | `exception d25 i200`
|           75,786.67 |           13,194.93 |    1.2% |      115,002.79 |      182,738.77 |  0.629 |      20,600.07 |   25.4% |      0.01 | `noerror d50 i200`
|           83,087.00 |           12,035.58 |    1.1% |      164,204.85 |      200,393.31 |  0.819 |      30,800.08 |   18.8% |      0.01 | `result d50 i200`
|           90,074.08 |           11,101.97 |    0.3% |      244,845.92 |      216,919.50 |  1.129 |      48,233.08 |   11.0% |      0.01 | `exception d50 i200`
|          201,747.80 |            4,956.68 |    0.3% |      223,404.20 |      486,307.50 |  0.459 |      40,600.20 |   37.4% |      0.01 | `noerror d100 i200`
|          208,782.67 |            4,789.67 |    0.4% |      304,206.20 |      503,634.60 |  0.604 |      60,800.20 |   25.9% |      0.01 | `result d100 i200`
|          234,145.40 |            4,270.85 |    0.8% |      454,329.20 |      561,594.60 |  0.809 |      92,921.20 |   16.9% |      0.01 | `exception d100 i200`
|           10,464.63 |           95,560.01 |    0.5% |       90,002.10 |       25,245.00 |  3.565 |      10,000.01 |    0.0% |      0.01 | `noerror d1 i2000`
|           11,561.32 |           86,495.31 |    0.5% |      114,004.12 |       27,835.71 |  4.096 |      14,000.01 |    0.0% |      0.01 | `result d1 i2000`
|           11,670.34 |           85,687.28 |    0.7% |      108,632.12 |       28,052.01 |  3.873 |      15,164.01 |    0.1% |      0.01 | `exception d1 i2000`
|           12,226.95 |           81,786.57 |    0.6% |      106,002.12 |       29,409.06 |  3.604 |      14,000.01 |    0.0% |      0.01 | `noerror d2 i2000`
|           13,759.87 |           72,675.10 |    0.4% |      134,004.14 |       33,148.50 |  4.043 |      20,000.01 |    0.0% |      0.01 | `result d2 i2000`
|           15,673.74 |           63,800.99 |    1.5% |      142,869.16 |       37,196.25 |  3.841 |      19,655.01 |    0.0% |      0.01 | `exception d2 i2000`
|          107,754.55 |            9,280.35 |    2.2% |      586,003.10 |      259,726.09 |  2.256 |     106,000.10 |    0.7% |      0.01 | `noerror d25 i2000`
|          189,405.50 |            5,279.68 |    3.3% |      822,005.83 |      455,847.00 |  1.803 |     158,000.17 |    4.6% |      0.01 | `result d25 i2000`
|          136,356.62 |            7,333.71 |    4.3% |      714,473.38 |      328,789.12 |  2.173 |     123,044.12 |    1.6% |      0.01 | `exception d25 i2000`
|          761,995.00 |            1,312.34 |    0.6% |    1,150,013.00 |    1,833,867.00 |  0.627 |     206,001.00 |   25.4% |      0.01 | `noerror d50 i2000`
|          821,462.00 |            1,217.34 |    1.4% |    1,642,015.00 |    1,976,499.00 |  0.831 |     308,001.00 |   18.7% |      0.01 | `result d50 i2000`
|          767,903.00 |            1,302.25 |    0.5% |    1,326,624.00 |    1,850,877.00 |  0.717 |     235,428.00 |   22.2% |      0.01 | `exception d50 i2000`
|        2,017,675.00 |              495.62 |    0.2% |    2,234,014.00 |    4,860,135.00 |  0.460 |     406,002.00 |   37.5% |      0.02 | `noerror d100 i2000`
|        2,087,798.00 |              478.97 |    0.2% |    3,042,016.00 |    5,028,849.00 |  0.605 |     608,002.00 |   25.9% |      0.02 | `result d100 i2000`
|        2,041,515.00 |              489.83 |    0.4% |    2,421,763.00 |    4,926,033.00 |  0.492 |     460,129.00 |   33.3% |      0.02 | `exception d100 i2000`
